Table Name,File Path,Data Element,Data Type,Bizterm Group,Layer,Business Term,Description,Biz Logic,Origin (Source Data),Sensitivity (PII/non PII),Impact,Time Aggregation,Possible Values
l1_cb_multidim_weekly,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet,fea_custprof_prsna_quadrant,string,customer_profile,aggregation,,Quadrant in which the persona lies,,cb.cb_multidim - prsna_quadrant,No,Low,Weekly,Any string
l1_cb_multidim_weekly,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet,fea_custprof_arpu_segment_name,string,customer_profile,aggregation,,ARPU segment that the customer falls in,,cb.cb_multidim - arpu_segment_name,No,Low,Weekly,Any string
l1_cb_multidim_weekly,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet,fea_custprof_mytsel_user_flag,string,customer_profile,aggregation,,Does the customer use mytsel,,cb.cb_multidim - mytsel_user_flag,No,Low,Weekly,Any string
l1_cb_multidim_weekly,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet,weekstart,date,customer_profile,aggregation,,date of first Monday of then week in which event occured in yyyy-MM-dd format,,cb.cb_multidim - trx_date,No,Low,Weekly,Any date
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,msisdn,string,customer_profile,primary,,Mobile Number which are common with partner msisdn,,"hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - msisdn,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/partner_msisdns.parquet - msisdn",Yes,Low,Weekly,Any string
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_lte_usim_user_flag,string,customer_profile,primary,,Is the sim lte capable,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - fea_custprof_lte_usim_user_flag,No,Low,Weekly,Any string
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_area_sales,string,customer_profile,primary,,Area from where the MSISDN was purchased by the customer,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - fea_custprof_area_sales,No,Low,Weekly,Any string
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_region_sales,string,customer_profile,primary,,Region of the sales of the sim card,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - fea_custprof_region_sales,No,Low,Weekly,Any string
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_bill_responsibility_type,string,customer_profile,primary,,What is the bill responsibility type of the customer,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - fea_custprof_bill_responsibility_type,No,Low,Weekly,Any string
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_segment_data_user,string,customer_profile,primary,,Segment to which MSISDN belong as per data usage,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - fea_custprof_segment_data_user,No,Low,Weekly,Any string
